"ensembl"	"external_gene_name"	"Mia_HighGluc_CONT_Rep1"	"Mia_HighGluc_CONT_Rep2"	"Mia_HighGluc_CONT_Rep3"	"Mia_HighGluc_KO_Rep1"	"Mia_HighGluc_KO_Rep2"	"Mia_HighGluc_KO_Rep3"	"Mia_LowGluc_CONT_Rep1"	"Mia_LowGluc_CONT_Rep2"	"Mia_LowGluc_CONT_Rep3"	"Mia_LowGluc_KO_Rep1"	"Mia_LowGluc_KO_Rep2"	"Mia_LowGluc_KO_Rep3"
"ENSG00000154485"	"MMP21"	0	0.01	0.01	0.01	0.02	0	0.02	0.01	0	0	0.01	0.01
"ENSG00000154493"	"C10orf90"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154511"	"FAM69A"	2.59	2.47	2.25	0.34	0.21	0.48	1.1	1.1	1.32	0.25	0.21	0.31
"ENSG00000154518"	"ATP5MC3"	315.04	316.44	264.45	168.39	170.12	182.73	97.07	137.13	165.78	123.1	130.4	130.37
"ENSG00000154529"	"CNTNAP3B"	2.04	2.37	2.36	0.26	0.21	0.38	0.83	0.43	0.27	0.45	0.59	0.52
"ENSG00000154537"	"FAM27C"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154545"	"MAGED4"	0.51	0.28	0	2.84	5.09	5.69	1.34	2.47	3.68	2.96	2.59	1.65
"ENSG00000154548"	"SRSF12"	0.01	0.02	0.02	0.08	0.03	0.04	0.1	0.08	0.06	0.06	0.08	0.06
"ENSG00000154553"	"PDLIM3"	6.5	5.6	5.2	3.73	4.3	4.38	2.9	3.21	3.01	2.47	2.47	2.69
"ENSG00000154556"	"SORBS2"	0.94	0.75	0.99	1.92	1.98	1.92	1.04	1.09	1.08	1.38	1.66	1.8
"ENSG00000154582"	"ELOC"	47.65	50.59	34.73	31.74	29.89	31.97	34.69	34.48	36.78	30.14	29.79	31.14
"ENSG00000154589"	"LY96"	0	0	0	0	0.03	0.03	0.12	0.2	0.09	0.23	0.07	0.09
"ENSG00000154608"	"CEP170P1"	0.26	0.35	0.27	0.44	0.42	0.4	0.33	0.39	0.45	0.35	0.34	0.44
"ENSG00000154611"	"PSMA8"	0.01	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154620"	"TMSB4Y"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154639"	"CXADR"	0.44	0.39	0.21	3.49	3.16	3.95	1.08	1.54	1.54	3.96	4.18	4.71
"ENSG00000154640"	"BTG3"	4.9	5.75	4.51	9.05	8.62	9.97	17.21	17.41	15.56	11.07	10.72	12.23
"ENSG00000154642"	"C21orf91"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154645"	"CHODL"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154646"	"TMPRSS15"	0	0.02	0	0	0	0	0	0	0	0	0	0
"ENSG00000154654"	"NCAM2"	0.01	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154655"	"L3MBTL4"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154678"	"PDE1C"	0.02	0.03	0	0	0	0	0.01	0.01	0	0	0	0
"ENSG00000154710"	"RABGEF1"	8.36	9.09	8.07	5.89	4.51	5.98	11.01	13.51	11.63	4.72	5.68	5.65
"ENSG00000154719"	"MRPL39"	66.42	70.83	59.02	30.87	29.95	33.59	24.9	31.69	35.11	35.11	36.44	38.21
"ENSG00000154721"	"JAM2"	0.36	0.25	0.24	0.25	0.09	0.16	0.17	0.18	0.13	0.05	0.02	0.08
"ENSG00000154723"	"ATP5PF"	106.24	104.81	90.24	56.29	49.43	57.33	32.3	44.91	53.38	33.22	32.07	38.33
"ENSG00000154727"	"GABPA"	10.62	10.66	8.59	6.4	6.38	7	8.08	8.55	8.14	8.21	8.14	8.99
"ENSG00000154734"	"ADAMTS1"	0.02	0.06	0.06	0.02	0.01	0	0.04	0.06	0.01	0.04	0.09	0.05
"ENSG00000154736"	"ADAMTS5"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154743"	"TSEN2"	4.88	5.16	4.35	3.34	3.25	3.03	4.23	4.53	4.65	3.19	3.23	3.69
"ENSG00000154760"	"SLFN13"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154764"	"WNT7A"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154767"	"XPC"	7.23	7.41	6.81	5.91	6.25	6.25	6.37	7.33	7.7	4.82	5.13	5.63
"ENSG00000154781"	"CCDC174"	4.84	4.89	4.18	3.17	3.59	3.65	7.24	7.65	6.52	9.26	8.76	9.57
"ENSG00000154783"	"FGD5"	0.04	0.1	0.08	0	0	0	0	0.01	0	0	0	0.01
"ENSG00000154803"	"FLCN"	8.36	8.54	7.97	12.49	12.82	12.37	17.85	18.08	15.14	26.27	25.92	28.41
"ENSG00000154813"	"DPH3"	5.7	5.26	4.16	3.76	2.72	4.24	4.76	5.26	4.48	3.41	3.69	4.1
"ENSG00000154814"	"OXNAD1"	8.2	8.69	7.03	3.89	4.47	4.18	5.53	5.94	5.27	2.98	3.19	2.99
"ENSG00000154822"	"PLCL2"	0.03	0.03	0.01	0.1	0.11	0.09	0.02	0.03	0.05	0.07	0.08	0.09
"ENSG00000154832"	"CXXC1"	20.55	22.99	21.42	19.06	18.03	17.83	13.27	15.07	15.85	17.4	17.46	18.26
"ENSG00000154839"	"SKA1"	21.19	22.57	19.43	18.94	16	20.12	16.41	19.68	21.94	21.99	24.66	25.15
"ENSG00000154845"	"PPP4R1"	39.44	45.52	37.57	18.89	19.3	20	19.13	23.99	25.86	17.86	18.95	18.32
"ENSG00000154856"	"APCDD1"	0.21	0.22	0.1	0.27	0.39	0.63	0.31	0.2	0.41	0.22	0.36	0.49
"ENSG00000154864"	"PIEZO2"	0.01	0.06	0.03	0.01	0.02	0.02	0.02	0	0	0	0	0.03
"ENSG00000154874"	"CCDC144B"	2.46	2.53	3.42	2.33	1.96	2.36	1.94	1.91	1.99	2.67	2.58	2.44
"ENSG00000154889"	"MPPE1"	6.65	7.62	7.02	5.94	5.29	7.76	4.4	5.43	6.11	3.78	4.79	5.06
"ENSG00000154898"	"CCDC144CP"	0.1	0.18	0.21	0.03	0.02	0.03	0.13	0.08	0.06	0.03	0.03	0.02
"ENSG00000154914"	"USP43"	0.02	0.03	0.02	0.09	0.09	0.08	0.05	0.06	0.07	0.13	0.14	0.11
"ENSG00000154917"	"RAB6B"	2.27	1.97	2.19	2.83	2.97	3.51	3.22	4.64	5.14	2.39	2.06	2.98
"ENSG00000154920"	"EME1"	9.22	9.29	10.23	7.89	6.66	7.16	3.03	3.99	4.81	3.03	2.68	3.24
"ENSG00000154928"	"EPHB1"	0.05	0.03	0.01	0.06	0.07	0.08	0.05	0.08	0.11	0.04	0.03	0.04
"ENSG00000154930"	"ACSS1"	1.61	1.74	1.67	1.13	1.14	1.17	0.75	0.72	0.52	0.58	0.5	0.58
"ENSG00000154945"	"ANKRD40"	10.36	11.35	9.7	11.26	10.42	11.53	10.49	11.56	11.98	9.74	9.97	11.25
"ENSG00000154957"	"ZNF18"	1.94	2	1.88	1.81	1.77	1.87	2.09	2.53	2.88	2.88	3.25	3.01
"ENSG00000154975"	"CA10"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000154978"	"VOPP1"	13.86	14.63	12.35	13.15	14.31	14.65	7.91	10.61	13.76	8.01	8.55	8.95
"ENSG00000154997"	"SEPT14"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155008"	"APOOL"	3.75	3.57	3.17	3.29	2.99	4.22	3.97	5	4.26	5.14	5.3	5.75
"ENSG00000155011"	"DKK2"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155016"	"CYP2U1"	1.68	1.36	1.37	1.89	1.51	1.9	1.68	2.17	2.55	1.28	1.3	1.41
"ENSG00000155026"	"RSPH10B"	0.13	0.07	0.03	0.15	0.04	0.1	0.13	0.06	0.08	0.04	0.06	0.03
"ENSG00000155034"	"FBXL18"	3.42	3.88	3.69	2.8	2.9	3.02	1.56	1.93	2.59	2.11	2.05	2.12
"ENSG00000155052"	"CNTNAP5"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155066"	"PROM2"	0	0.02	0	0	0	0	0	0.03	0	0	0	0
"ENSG00000155070"	"UNC93B2"	0.19	0.18	0.12	0.14	0.14	0.15	0.02	0.03	0.08	0.02	0.13	0.15
"ENSG00000155085"	"AK9"	0.7	0.72	0.61	0.56	0.42	0.44	1.11	1.23	1.17	0.56	0.53	0.63
"ENSG00000155087"	"ODF1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155090"	"KLF10"	5.27	5	4.51	6.93	6.26	7.19	19.63	19.6	14.55	13.97	14.46	15.91
"ENSG00000155093"	"PTPRN2"	0.27	0.34	0.26	0.42	0.47	0.45	0.39	0.44	0.41	0.36	0.35	0.36
"ENSG00000155096"	"AZIN1"	34.56	35.44	32.42	27.35	28.39	28.3	52.51	54.4	49.73	36.45	36.27	38.07
"ENSG00000155097"	"ATP6V1C1"	17.36	18.62	15.4	13.96	13.84	15.16	25.32	24.06	22.88	26.46	26.56	30.39
"ENSG00000155099"	"PIP4P2"	4.28	4.43	4.58	2.91	3.1	2.88	2.07	2.92	3.24	3.09	3.39	3.49
"ENSG00000155100"	"OTUD6B"	5.37	6.21	4.43	2.58	1.97	2.96	4.26	4.63	4.6	2.56	2.88	2.88
"ENSG00000155111"	"CDK19"	5.54	5.1	4.86	4.84	4.19	4.3	4.24	4.98	5.02	3.86	3.94	4.99
"ENSG00000155115"	"GTF3C6"	55.78	58.4	48.12	37.73	36.45	42.15	29.06	36.48	45.08	35.56	38.46	38.86
"ENSG00000155158"	"TTC39B"	2.14	2.22	2.13	1.55	1.67	1.83	3.27	2.78	2.61	2.83	2.88	2.72
"ENSG00000155189"	"AGPAT5"	29.97	32.56	27.43	22.26	19.21	22.76	18.8	21.39	23.74	19.57	22.65	23.04
"ENSG00000155229"	"MMS19"	38.79	39.24	37.86	27.36	27.61	26.96	19.16	22.03	24.39	31	30.16	32.97
"ENSG00000155249"	"OR4K1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155252"	"PI4K2A"	6.78	6.94	6.26	4.15	4.17	4.35	7.73	8.62	6.41	4.13	4.18	4.39
"ENSG00000155254"	"MARVELD1"	9.07	8.85	8.69	9.54	10.08	10.07	3.94	5.57	7.21	2.98	2.99	3.08
"ENSG00000155256"	"ZFYVE27"	7.93	8.54	7.51	5.73	5.59	5.68	6.92	7.79	6.83	5.03	5.54	5.73
"ENSG00000155265"	"GOLGA7B"	0.03	0.04	0.02	0.05	0.08	0.07	0.04	0.08	0.04	0.06	0.06	0.08
"ENSG00000155269"	"GPR78"	0.03	0	0	0	0	0	0	0.01	0	0	0	0
"ENSG00000155275"	"TRMT44"	4.38	5.1	4.52	4.85	4.4	5.03	5.44	4.9	4.75	5.82	5.25	6.86
"ENSG00000155287"	"SLC25A28"	8.81	9.64	8.3	8.94	8.33	7.44	7.07	8.37	6.9	6.19	8.01	7.57
"ENSG00000155304"	"HSPA13"	19.26	20.09	17.94	16.43	15.88	16.36	46.3	45.62	38.08	29.86	30.62	32.24
"ENSG00000155307"	"SAMSN1"	0.01	0	0	0.02	0	0	0.01	0	0	0.01	0	0
"ENSG00000155313"	"USP25"	7.14	7.78	6.86	6.85	5.89	7.05	11.06	10.52	10.47	12.14	14.21	14.69
"ENSG00000155324"	"GRAMD2B"	11.08	10.12	9.26	28.19	25.91	28.59	20.97	31.23	37.88	49.86	52.6	55.52
"ENSG00000155329"	"ZCCHC10"	16.98	15.21	13.6	11.98	14.31	13.08	12.42	12.01	14.52	20.23	21.82	23.32
"ENSG00000155330"	"C16orf87"	4	3.91	3.24	2.61	2.63	3.08	4.26	5.66	4.8	5.61	5.49	5.76
"ENSG00000155363"	"MOV10"	9.63	9.63	8.59	12.5	11.66	12.61	9.19	9.51	10.36	6.87	5.72	9.22
"ENSG00000155366"	"RHOC"	174.97	176.57	140.25	109.98	125.88	120.53	89.1	115.96	125.6	85.12	84.65	88.46
"ENSG00000155367"	"PPM1J"	0.39	0.32	0.18	0.22	0.31	0.26	0.21	0.21	0.23	0.13	0.14	0.19
"ENSG00000155368"	"DBI"	207.92	198.29	160.08	114.49	121.74	120.45	73.8	107.8	140.45	113.23	118.17	126.17
"ENSG00000155380"	"SLC16A1"	54.48	60.5	55.41	47.84	54.2	48.13	45.7	44.65	42.94	56.76	56.19	60.75
"ENSG00000155393"	"HEATR3"	17.31	18.86	15.83	15.34	15.65	15.75	14.52	18.91	21.58	10.39	10.72	11.43
"ENSG00000155428"	"TRIM74"	0.06	0.09	0.09	0.07	0.09	0.08	0.07	0.04	0.04	0	0.02	0.01
"ENSG00000155438"	"NIFK"	47.9	53.27	44.07	31.81	31.37	34.38	53.83	59.66	53.99	62.74	62.81	64.13
"ENSG00000155463"	"OXA1L"	39.02	37.4	32.73	41	42.08	43.53	27.28	33.26	37.14	42.42	41.77	44.28
"ENSG00000155465"	"SLC7A7"	0.04	0.01	0.03	0.05	0.06	0.1	0.17	0.09	0.04	0.04	0.07	0.06
"ENSG00000155495"	"MAGEC1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155506"	"LARP1"	40.96	48.18	44.75	43.05	39.96	46.22	26.57	30.15	32.36	22.05	21.35	25.79
"ENSG00000155508"	"CNOT8"	31.37	28.9	27.34	25.53	24.99	25.27	23.79	29.64	28.98	27.28	29.41	30.04
"ENSG00000155511"	"GRIA1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155530"	"LRGUK"	0.06	0.08	0.05	0.06	0.03	0.05	0.07	0.08	0.05	0.06	0.02	0.04
"ENSG00000155542"	"SETD9"	12.74	12.96	12.51	6.6	6.5	6.95	6.75	8.69	10.04	11.46	11.78	10.53
"ENSG00000155545"	"MIER3"	10.01	9.46	12.39	5.51	6.9	6.47	7.86	7.92	8.55	10.71	11.64	11.29
"ENSG00000155561"	"NUP205"	48.52	50.94	48.51	44.27	42.51	46.3	19.84	24.44	30.3	35.53	36.41	39.62
"ENSG00000155592"	"ZKSCAN2"	0.83	0.9	0.89	0.66	0.53	0.66	0.84	1.04	0.97	0.75	0.63	0.71
"ENSG00000155621"	"C9orf85"	5.73	5.28	4.59	4.93	3.61	4.75	7.48	7.42	6.94	5.31	5.9	5.92
"ENSG00000155622"	"XAGE2"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155629"	"PIK3AP1"	0.41	0.34	0.39	0.76	0.77	0.79	0.56	0.82	0.87	1.1	1.28	1.15
"ENSG00000155636"	"RBM45"	6.17	5.96	5.42	5.76	5.23	5.91	4.62	5.87	7.36	4.72	4.74	5.08
"ENSG00000155657"	"TTN"	0.04	0.04	0.05	0.05	0.04	0.06	0.04	0.04	0.03	0.03	0.03	0.04
"ENSG00000155659"	"VSIG4"	0.02	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155660"	"PDIA4"	107	104.5	92.12	80.72	83.7	83.06	235.41	184.11	111.08	71.66	70.99	76.21
"ENSG00000155666"	"KDM8"	0.8	1.06	0.88	0.93	1.07	1.35	0.77	1.07	1.19	0.54	0.55	0.49
"ENSG00000155714"	"PDZD9"	0.01	0.01	0	0.09	0.03	0.05	0.01	0.01	0.03	0.01	0.05	0
"ENSG00000155719"	"OTOA"	0.01	0	0	0	0.01	0	0.01	0.01	0	0	0	0
"ENSG00000155729"	"KCTD18"	5.41	4.95	4.22	4.17	3.83	4.06	3.42	3.78	5.24	3.12	3.33	3.65
"ENSG00000155744"	"FAM126B"	13.01	13.08	10.76	5.67	4.66	5.87	3.4	5.15	5.66	4.53	5.57	4.98
"ENSG00000155749"	"ALS2CR12"	0.11	0.04	0.05	0.08	0.02	0.02	0.07	0.04	0.08	0.04	0.04	0.03
"ENSG00000155754"	"C2CD6"	0.01	0.01	0.01	0	0	0	0.01	0.02	0.01	0	0.01	0.01
"ENSG00000155755"	"TMEM237"	19.87	18.59	17.75	6.65	6.55	7.9	7.93	10.17	11.29	8.09	8.83	8.26
"ENSG00000155760"	"FZD7"	4.25	4.02	3.65	1.97	1.9	2.1	3.49	3.44	2.83	2.19	2.31	2.46
"ENSG00000155761"	"SPAG17"	0.03	0	0	0	0	0	0	0	0	0.04	0	0.02
"ENSG00000155792"	"DEPTOR"	2.21	1.71	1.81	0.41	0.44	0.49	0.85	1.14	0.92	0.35	0.33	0.41
"ENSG00000155816"	"FMN2"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155827"	"RNF20"	14.5	15.62	15.04	15.85	15.88	16.66	11.04	13.5	16.84	13.63	13.82	16.11
"ENSG00000155833"	"CYLC2"	0	0	0	0	0	0	0	0.01	0	0	0	0
"ENSG00000155846"	"PPARGC1B"	0.8	0.98	0.93	0.57	0.52	0.6	0.35	0.45	0.45	0.64	0.61	0.82
"ENSG00000155849"	"ELMO1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155850"	"SLC26A2"	3.25	2.91	2.86	2.56	1.82	2.96	2.93	3.36	3.39	2.72	2.77	3.01
"ENSG00000155858"	"LSM11"	1.74	1.8	1.68	1.46	1.23	1.56	1.45	1.86	2.49	2.24	2.41	2.38
"ENSG00000155868"	"MED7"	10.05	9.31	9.07	10.82	9.41	10.36	9.76	11.77	12.83	12.22	13.97	13.47
"ENSG00000155875"	"SAXO1"	0	0	0	0.01	0.02	0.01	0.02	0.01	0	0	0	0
"ENSG00000155876"	"RRAGA"	20.41	20.35	16.28	16.47	16.04	17.32	16.95	20.15	21.8	11.55	11.74	12.67
"ENSG00000155886"	"SLC24A2"	0.01	0.01	0	0	0	0	0	0	0	0	0	0
"ENSG00000155890"	"TRIM42"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155893"	"PXYLP1"	1.65	1.46	1.36	1.95	2.03	2.07	1.43	1.9	2	0.82	0.85	0.54
"ENSG00000155897"	"ADCY8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155903"	"RASA2"	3.94	4.11	3.89	3.64	3.05	4.1	3.82	5.16	5.7	3.39	3.5	3.42
"ENSG00000155906"	"RMND1"	12.43	12.02	10.32	12.46	12.15	12.42	12.96	14.92	14.62	18.6	18.86	19.5
"ENSG00000155918"	"RAET1L"	0.04	0	0	0.03	0	0	0.02	0	0.02	0	0	0.02
"ENSG00000155926"	"SLA"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155957"	"TMBIM4"	23.25	20.49	17.1	17.87	13.71	19.89	17.52	21.9	25.27	14.25	15.03	15.57
"ENSG00000155959"	"VBP1"	32.47	32.27	25.4	22.86	20.68	25.53	21.95	25.87	29.82	27.32	29.79	29.92
"ENSG00000155961"	"RAB39B"	0.17	0.18	0.15	0.21	0.14	0.18	6.3	4.72	1.86	0.9	0.8	0.99
"ENSG00000155962"	"CLIC2"	0.01	0.03	0.01	0.09	0.01	0.03	0.03	0.09	0.03	0.01	0.04	0
"ENSG00000155966"	"AFF2"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155970"	"MICU3"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000155974"	"GRIP1"	0.05	0	0	0.76	0.33	0.4	0.43	0.37	0.38	0.43	0.51	0.47
"ENSG00000155975"	"VPS37A"	12.65	14.32	12.44	10.66	11.83	11.46	18.64	17.15	18.3	15.98	15.4	15.75
"ENSG00000155980"	"KIF5A"	0.18	0.2	0.28	0.03	0.03	0.03	0.02	0.01	0.01	0.01	0.01	0.03
"ENSG00000156006"	"NAT2"	0	0	0.02	0	0	0	0	0.01	0	0	0	0
"ENSG00000156009"	"MAGEA8"	0	0.01	0	0	0.02	0.02	0	0	0	0	0	0
"ENSG00000156011"	"PSD3"	25.5	27.24	27.37	1.13	0.85	0.86	6.7	7.66	7.61	0.78	0.77	0.7
"ENSG00000156017"	"CARNMT1"	8.07	9.24	7.38	7.3	7.37	7.32	6.87	8.81	8.76	10.83	9.44	9.89
"ENSG00000156026"	"MCU"	16.02	16.51	15.08	12.56	11.21	11.59	10.69	12.1	12.92	13.9	16.23	17.03
"ENSG00000156030"	"ELMSAN1"	2.8	3.08	2.99	4.75	4.47	4.84	4.06	3.9	2.78	3.52	3.3	4.1
"ENSG00000156042"	"CFAP70"	0.11	0.09	0.1	0.07	0.08	0.08	0.19	0.13	0.13	0.02	0.03	0.04
"ENSG00000156049"	"GNA14"	0	0	0	0	0	0.01	0.03	0	0	0	0	0
"ENSG00000156050"	"FAM161B"	0.64	0.57	0.48	0.57	0.66	0.53	0.72	0.81	0.75	0.36	0.33	0.34
"ENSG00000156052"	"GNAQ"	0.07	0.12	0.1	1.34	1.08	0.88	0.11	0.14	0.11	0.71	0.7	1.1
"ENSG00000156076"	"WIF1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156096"	"UGT2B4"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156097"	"GPR61"	0.16	0.07	0.3	0.07	0.16	0.24	0.26	0.18	0.2	0.12	0.07	0.09
"ENSG00000156103"	"MMP16"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156110"	"ADK"	34.45	33.99	29.62	22.64	23.68	26.29	23.21	28.75	28.65	26.6	26.84	29.42
"ENSG00000156113"	"KCNMA1"	0.69	0.87	0.65	7.22	6.99	8.14	7.38	9.09	8.49	4.69	4.4	6.13
"ENSG00000156127"	"BATF"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156136"	"DCK"	4.95	5.27	3.93	5.64	4.47	6.12	3.48	4.61	5.6	3.26	4.42	3.96
"ENSG00000156140"	"ADAMTS3"	0	0	0	0	0.01	0	0	0.02	0.01	0	0	0
"ENSG00000156150"	"ALX3"	0	0.01	0.01	0.01	0	0	0.04	0	0.01	0	0	0
"ENSG00000156162"	"DPY19L4"	11.77	11.16	11.49	8.46	6.97	8.7	8.43	10.25	12.94	7.05	8.49	8.64
"ENSG00000156170"	"NDUFAF6"	6.58	6.78	6	5.56	4.62	5.9	5.6	6.76	7.2	4.88	5.67	5.66
"ENSG00000156171"	"DRAM2"	22.33	22.26	20.23	14.54	14.92	16.46	19.18	23.05	22.47	15.5	16.4	16.73
"ENSG00000156172"	"C8orf37"	0.43	0.43	0.38	0.24	0.22	0.26	0.32	0.39	0.52	0.17	0.16	0.15
"ENSG00000156194"	"PPEF2"	0	0	0	0	0	0	0.03	0	0.01	0	0	0.01
"ENSG00000156206"	"CFAP161"	0.02	0.03	0.01	0.01	0.04	0.01	0	0.08	0.02	0.02	0	0
"ENSG00000156218"	"ADAMTSL3"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156219"	"ART3"	0	0	0	0	0	0	0	0	0.01	0	0.02	0.04
"ENSG00000156222"	"SLC28A1"	0.03	0.04	0.01	0.02	0.01	0.01	0.02	0.01	0.03	0.03	0.01	0.01
"ENSG00000156232"	"WHAMM"	1.36	1.74	1.2	0.99	1	1.07	1.66	1.76	1.69	1.41	1.43	1.72
"ENSG00000156234"	"CXCL13"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156239"	"N6AMT1"	1.87	2.14	1.71	1.27	1.37	1.28	1.72	2.13	2.56	1.64	1.57	1.75
"ENSG00000156253"	"RWDD2B"	9.47	8.79	8.45	9.08	9.16	10.22	11.79	13.75	13.67	8.95	9.75	10.22
"ENSG00000156256"	"USP16"	14.51	15.65	13.12	13.51	11.82	13.7	15.32	16.38	16.17	17.92	18.77	19.08
"ENSG00000156261"	"CCT8"	205.66	216.11	174.61	132.65	128.44	139.79	136.32	160.06	166.14	142.93	151.26	158.32
"ENSG00000156265"	"MAP3K7CL"	0.01	0	0	0	0	0	0.03	0	0.02	0	0	0.01
"ENSG00000156269"	"NAA11"	0	0	0	0.01	0	0	0	0	0	0	0	0
"ENSG00000156273"	"BACH1"	8.98	8.46	7.11	6.27	5.61	6.79	15.19	14.68	11.01	12.24	11.93	13.4
"ENSG00000156282"	"CLDN17"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156284"	"CLDN8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156298"	"TSPAN7"	0	0.01	0	0.03	0	0.01	0.02	0.02	0	0.01	0	0.02
"ENSG00000156299"	"TIAM1"	1.04	1.29	1.16	2.04	2.03	2.11	0.86	1.05	1.27	1.33	1.12	1.39
"ENSG00000156304"	"SCAF4"	4.61	4.94	5.05	4.54	3.84	4.98	2.46	2.4	2.43	1.73	1.91	1.91
"ENSG00000156313"	"RPGR"	3.9	3.35	3.2	2.54	1.93	2.43	4.55	5.05	5.01	2.96	2.53	3.26
"ENSG00000156345"	"CDK20"	1.75	1.8	1.69	1.35	1.49	1.26	1.77	2.48	2.14	2.68	2.91	3.08
"ENSG00000156374"	"PCGF6"	12.6	12.37	10.64	12.78	10.75	13.78	9.43	11.23	12.35	16.87	16.74	18.03
"ENSG00000156381"	"ANKRD9"	8.2	10.67	9.45	10.01	11.78	11.15	6.79	9.07	10.81	11.14	10.08	11.65
"ENSG00000156384"	"SFR1"	13.11	13.34	10.54	15.29	12.02	15.84	14.7	19.63	21.37	12.3	12.89	13.08
"ENSG00000156395"	"SORCS3"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156398"	"SFXN2"	3.22	3.97	3.13	2.68	2.95	2.49	1.97	2.12	2.41	1.42	1.56	1.33
"ENSG00000156411"	"ATP5MPL"	114.93	116.33	96.58	100.76	103.8	115.85	64.27	85.11	104.56	89.73	93.45	95.11
"ENSG00000156413"	"FUT6"	0.03	0.03	0.04	0.02	0.02	0.03	0.09	0.02	0.02	0.02	0.01	0.01
"ENSG00000156414"	"TDRD9"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156427"	"FGF18"	0.09	0.1	0.11	0.08	0.07	0.07	0.13	0.08	0.08	0.09	0.11	0.1
"ENSG00000156453"	"PCDH1"	27	27.22	25.04	1.45	1.66	1.69	3.72	2.64	1.03	2.81	2.78	2.64
"ENSG00000156463"	"SH3RF2"	2.53	3.24	2.76	0.33	0.36	0.37	0.16	0.13	0.17	0.34	0.23	0.27
"ENSG00000156466"	"GDF6"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000156467"	"UQCRB"	73.7	70.96	61.39	55.02	53.96	57.56	54.05	70.85	78.53	71.29	76.52	80.62
"ENSG00000156469"	"MTERF3"	11.99	12.97	11.26	9.62	8.97	10.2	9.16	11.75	12.96	12.1	12.49	12.57
"ENSG00000156471"	"PTDSS1"	44.94	49.49	40.31	26.17	28.94	29	29.38	34.31	35.9	24.44	26.68	28.03
"ENSG00000156475"	"PPP2R2B"	0	0	0	0	0	0	0	0	0	0.03	0	0
"ENSG00000156482"	"RPL30"	932.44	900.32	755.48	646.94	659.66	672.05	721.17	828.34	824.84	723.11	734.21	740.81
"ENSG00000156486"	"KCNS2"	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01
"ENSG00000156500"	"FAM122C"	0.66	0.61	0.52	0.87	0.56	0.73	0.82	0.68	0.79	0.66	0.45	0.49
"ENSG00000156502"	"SUPV3L1"	27.1	28.4	23.96	21.84	23.03	24.63	41.05	41.32	33.37	55.93	55.69	63.6
"ENSG00000156504"	"FAM122B"	4.06	3.73	2.98	6.58	5.62	8.04	3.61	3.87	3.58	2.59	3.31	3.29
"ENSG00000156508"	"EEF1A1"	7603.58	6948.35	5946.02	6186.09	6265.56	6432.25	6777.91	7948.79	8218.85	8982.72	8773.97	9270.74
"ENSG00000156509"	"FBXO43"	0.57	0.56	0.51	0.55	0.44	0.61	0.27	0.4	0.58	0.1	0.13	0.18
"ENSG00000156510"	"HKDC1"	0.34	0.49	0.45	21.54	22.89	23.24	69.07	61.22	43.15	164.54	159.4	173.99
